ReportDt,StateCd,RsdsInSrvcDstrctNm,LGANm2020,PrtcpntCnt
31DEC2022,WA,North East Metro,Bayswater (C),1208
31DEC2022,WA,North East Metro,Kalamunda (C),1191
31DEC2022,WA,North East Metro,Mundaring (S),819
31DEC2022,WA,North East Metro,Swan (C),3840
31DEC2022,WA,North Metro,Joondalup (C),2527
31DEC2022,WA,North Metro,Wanneroo (C),4095
31DEC2022,WA,Other,Other,520
31DEC2022,WA,South East Metro,Belmont (C),749
31DEC2022,WA,South East Metro,Canning (C),1653
31DEC2022,WA,South East Metro,Gosnells (C),2540
31DEC2022,WA,South East Metro,Victoria Park (T),657
31DEC2022,WA,South Metro,Armadale (C),2117
31DEC2022,WA,South Metro,Mandurah (C),1819
31DEC2022,WA,South Metro,Murray (S),372
31DEC2022,WA,South Metro,Rockingham (C),2946
31DEC2022,WA,South Metro,Serpentine-Jarrahdale (S),550
31DEC2022,WA,South West,Augusta-Margaret River (S),305
31DEC2022,WA,South West,Boyup Brook (S),29
31DEC2022,WA,South West,Bridgetown-Greenbushes (S),153
31DEC2022,WA,South West,Bunbury (C),885
31DEC2022,WA,South West,Busselton (C),891
31DEC2022,WA,South West,Capel (S),357
31DEC2022,WA,South West,Collie (S),197
31DEC2022,WA,South West,Dardanup (S),282
31DEC2022,WA,South West,Donnybrook-Balingup (S),146
31DEC2022,WA,South West,Harvey (S),519
31DEC2022,WA,South West,Manjimup (S),231
31DEC2022,WA,South West,Waroona (S),61
31DEC2022,WA,Wheatbelt,Beverley (S),29
31DEC2022,WA,Wheatbelt,Chittering (S),97
31DEC2022,WA,Wheatbelt,Cunderdin (S),23
31DEC2022,WA,Wheatbelt,Dandaragan (S),47
31DEC2022,WA,Wheatbelt,Gingin (S),74
31DEC2022,WA,Wheatbelt,Kellerberrin (S),24
31DEC2022,WA,Wheatbelt,Merredin (S),54
31DEC2022,WA,Wheatbelt,Moora (S),40
31DEC2022,WA,Wheatbelt,Narrogin (S),92
31DEC2022,WA,Wheatbelt,Northam (S),238
31DEC2022,WA,Wheatbelt,Pingelly (S),30
31DEC2022,WA,Wheatbelt,Toodyay (S),71
31DEC2022,WA,Wheatbelt,York (S),57
30SEP2022,ACT,ACT,Unincorporated ACT,9567
30SEP2022,ACT,Other,Other,<11
30SEP2022,MIS,Other,Other,<11
30SEP2022,NSW,Central Coast,Central Coast (C) (NSW),9487
30SEP2022,NSW,Far West,Balranald (A),48
30SEP2022,NSW,Far West,Broken Hill (C),529
30SEP2022,NSW,Far West,Central Darling (A),38
30SEP2022,NSW,Far West,Wentworth (A),170
30SEP2022,NSW,Hunter New England,Armidale Regional (A),691
30SEP2022,NSW,Hunter New England,Cessnock (C),2125
30SEP2022,NSW,Hunter New England,Dungog (A),246
30SEP2022,NSW,Hunter New England,Glen Innes Severn (A),185
30SEP2022,NSW,Hunter New England,Gunnedah (A),306
30SEP2022,NSW,Hunter New England,Gwydir (A),85
30SEP2022,NSW,Hunter New England,Inverell (A),467
30SEP2022,NSW,Hunter New England,Lake Macquarie (C),6456
30SEP2022,NSW,Hunter New England,Liverpool Plains (A),190
30SEP2022,NSW,Hunter New England,Maitland (C),3620
30SEP2022,NSW,Hunter New England,Mid-Coast (A),2522
30SEP2022,NSW,Hunter New England,Moree Plains (A),253
30SEP2022,NSW,Hunter New England,Muswellbrook (A),482
30SEP2022,NSW,Hunter New England,Narrabri (A),242
30SEP2022,NSW,Hunter New England,Newcastle (C),5180
30SEP2022,NSW,Hunter New England,Port Stephens (A),2083
30SEP2022,NSW,Hunter New England,Singleton (A),623
30SEP2022,NSW,Hunter New England,Tamworth Regional (A),1771
30SEP2022,NSW,Hunter New England,Tenterfield (A),135
30SEP2022,NSW,Hunter New England,Upper Hunter Shire (A),245
30SEP2022,NSW,Hunter New England,Uralla (A),132
30SEP2022,NSW,Hunter New England,Walcha (A),37
30SEP2022,NSW,Illawarra Shoalhaven,Kiama (A),303
30SEP2022,NSW,Illawarra Shoalhaven,Shellharbour (C),1914
30SEP2022,NSW,Illawarra Shoalhaven,Shoalhaven (C),2725
30SEP2022,NSW,Illawarra Shoalhaven,Wollongong (C),4753
30SEP2022,NSW,Mid North Coast,Bellingen (A),312
30SEP2022,NSW,Mid North Coast,Coffs Harbour (C),2097
30SEP2022,NSW,Mid North Coast,Kempsey (A),1142
30SEP2022,NSW,Mid North Coast,Nambucca Valley (A),580
30SEP2022,NSW,Mid North Coast,Port Macquarie-Hastings (A),2787
30SEP2022,NSW,Murrumbidgee,Albury (C),1827
30SEP2022,NSW,Murrumbidgee,Berrigan (A),173
30SEP2022,NSW,Murrumbidgee,Bland (A),72
30SEP2022,NSW,Murrumbidgee,Carrathool (A),30
30SEP2022,NSW,Murrumbidgee,Coolamon (A),93
30SEP2022,NSW,Murrumbidgee,Cootamundra-Gundagai Regional (A),271
30SEP2022,NSW,Murrumbidgee,Edward River (A),221
30SEP2022,NSW,Murrumbidgee,Federation (A),274
30SEP2022,NSW,Murrumbidgee,Greater Hume Shire (A),275
30SEP2022,NSW,Murrumbidgee,Griffith (C),470
30SEP2022,NSW,Murrumbidgee,Hay (A),50
30SEP2022,NSW,Murrumbidgee,Hilltops (A),469
30SEP2022,NSW,Murrumbidgee,Junee (A),149
30SEP2022,NSW,Murrumbidgee,Leeton (A),232
30SEP2022,NSW,Murrumbidgee,Lockhart (A),80
30SEP2022,NSW,Murrumbidgee,Murray River (A),189
30SEP2022,NSW,Murrumbidgee,Murrumbidgee (A),51
30SEP2022,NSW,Murrumbidgee,Narrandera (A),143
30SEP2022,NSW,Murrumbidgee,Snowy Valleys (A),334
30SEP2022,NSW,Murrumbidgee,Temora (A),129
30SEP2022,NSW,Murrumbidgee,Wagga Wagga (C),1814
30SEP2022,NSW,Nepean Blue Mountains,Blue Mountains (C),2039
30SEP2022,NSW,Nepean Blue Mountains,Hawkesbury (C),1394
30SEP2022,NSW,Nepean Blue Mountains,Lithgow (C),545
30SEP2022,NSW,Nepean Blue Mountains,Penrith (C),5831
30SEP2022,NSW,North Sydney,Hornsby (A),2378
30SEP2022,NSW,North Sydney,Hunters Hill (A),167
30SEP2022,NSW,North Sydney,Ku-ring-gai (A),1375
30SEP2022,NSW,North Sydney,Lane Cove (A),435
30SEP2022,NSW,North Sydney,Mosman (A),220
30SEP2022,NSW,North Sydney,North Sydney (A),548
30SEP2022,NSW,North Sydney,Northern Beaches (A),3254
30SEP2022,NSW,North Sydney,Ryde (C),2108
30SEP2022,NSW,North Sydney,Willoughby (C),813
30SEP2022,NSW,Northern NSW,Ballina (A),1231
30SEP2022,NSW,Northern NSW,Byron (A),553
30SEP2022,NSW,Northern NSW,Clarence Valley (A),1385
30SEP2022,NSW,Northern NSW,Kyogle (A),245
30SEP2022,NSW,Northern NSW,Lismore (C),1523
30SEP2022,NSW,Northern NSW,Richmond Valley (A),767
30SEP2022,NSW,Northern NSW,Tweed (A),2240
30SEP2022,NSW,Other,Other,16
30SEP2022,NSW,South Eastern Sydney,Bayside (A),2470
30SEP2022,NSW,South Eastern Sydney,Georges River (A),2160
30SEP2022,NSW,South Eastern Sydney,Randwick (C),1977
30SEP2022,NSW,South Eastern Sydney,Sutherland Shire (A),3615
30SEP2022,NSW,South Eastern Sydney,Waverley (A),649
30SEP2022,NSW,South Eastern Sydney,Woollahra (A),406
30SEP2022,NSW,South Western Sydney,Camden (A),2702
30SEP2022,NSW,South Western Sydney,Campbelltown (C) (NSW),5041
30SEP2022,NSW,South Western Sydney,Canterbury-Bankstown (A),7005
30SEP2022,NSW,South Western Sydney,Fairfield (C),3978
30SEP2022,NSW,South Western Sydney,Liverpool (C),5000
30SEP2022,NSW,South Western Sydney,Wingecarribee (A),982
30SEP2022,NSW,South Western Sydney,Wollondilly (A),1160
30SEP2022,NSW,Southern NSW,Bega Valley (A),749
30SEP2022,NSW,Southern NSW,Eurobodalla (A),926
30SEP2022,NSW,Southern NSW,Goulburn Mulwaree (A),957
30SEP2022,NSW,Southern NSW,Queanbeyan-Palerang Regional (A),1172
30SEP2022,NSW,Southern NSW,Snowy Monaro Regional (A),349
30SEP2022,NSW,Southern NSW,Upper Lachlan Shire (A),134
30SEP2022,NSW,Southern NSW,Yass Valley (A),325
30SEP2022,NSW,Sydney,Burwood (A),501
30SEP2022,NSW,Sydney,Canada Bay (A),1015
30SEP2022,NSW,Sydney,Inner West (A),2535
30SEP2022,NSW,Sydney,Strathfield (A),537
30SEP2022,NSW,Sydney,Sydney (C),2059
30SEP2022,NSW,Western NSW,Bathurst Regional (A),1168
30SEP2022,NSW,Western NSW,Blayney (A),140
30SEP2022,NSW,Western NSW,Bogan (A),57
30SEP2022,NSW,Western NSW,Bourke (A),90
30SEP2022,NSW,Western NSW,Brewarrina (A),23
30SEP2022,NSW,Western NSW,Cabonne (A),210
30SEP2022,NSW,Western NSW,Cobar (A),83
30SEP2022,NSW,Western NSW,Coonamble (A),160
30SEP2022,NSW,Western NSW,Cowra (A),325
30SEP2022,NSW,Western NSW,Dubbo Regional (A),1439
30SEP2022,NSW,Western NSW,Forbes (A),224
30SEP2022,NSW,Western NSW,Gilgandra (A),119
30SEP2022,NSW,Western NSW,Lachlan (A),119
30SEP2022,NSW,Western NSW,Mid-Western Regional (A),578
30SEP2022,NSW,Western NSW,Narromine (A),146
30SEP2022,NSW,Western NSW,Oberon (A),84
30SEP2022,NSW,Western NSW,Orange (C),1348
30SEP2022,NSW,Western NSW,Parkes (A),333
30SEP2022,NSW,Western NSW,Walgett (A),103
30SEP2022,NSW,Western NSW,Warren (A),53
30SEP2022,NSW,Western NSW,Warrumbungle Shire (A),218
30SEP2022,NSW,Western NSW,Weddin (A),66
30SEP2022,NSW,Western Sydney,Blacktown (C),8860
30SEP2022,NSW,Western Sydney,Cumberland (A),4614
30SEP2022,NSW,Western Sydney,Parramatta (C),3866
30SEP2022,NSW,Western Sydney,The Hills Shire (A),2762
30SEP2022,NT,Barkly,Barkly (R),159
30SEP2022,NT,Central Australia,Alice Springs (T),692
30SEP2022,NT,Central Australia,Central Desert (R),72
30SEP2022,NT,Central Australia,MacDonnell (R),99
30SEP2022,NT,Darwin Remote,Roper Gulf (R),100
30SEP2022,NT,Darwin Remote,Tiwi Islands (R),120
30SEP2022,NT,Darwin Remote,Victoria Daly (R),29
30SEP2022,NT,Darwin Remote,West Arnhem (R),146
30SEP2022,NT,Darwin Remote,West Daly (R),62
30SEP2022,NT,Darwin Urban,Darwin (C),1595
30SEP2022,NT,Darwin Urban,Litchfield (M),370
30SEP2022,NT,Darwin Urban,Palmerston (C),1039
30SEP2022,NT,East Arnhem,East Arnhem (R),208
30SEP2022,NT,Katherine,Katherine (T),254
30SEP2022,NT,Other,Other,35
30SEP2022,NT,Unincorporated NT,Unincorporated NT,128
30SEP2022,OT,Other Territories,Unincorp. Other Territories,61
30SEP2022,QLD,Beenleigh,Logan (C),8808
30SEP2022,QLD,Beenleigh,Redland (C),3709
30SEP2022,QLD,Brisbane,Brisbane (C),21527
30SEP2022,QLD,Bundaberg,Bundaberg (R),3318
30SEP2022,QLD,Caboolture/Strathpine,Moreton Bay (R),12570
30SEP2022,QLD,Cairns,Aurukun (S),48
30SEP2022,QLD,Cairns,Cairns (R),3660
30SEP2022,QLD,Cairns,Cassowary Coast (R),544
30SEP2022,QLD,Cairns,Cook (S),45
30SEP2022,QLD,Cairns,Douglas (S),174
30SEP2022,QLD,Cairns,Hope Vale (S),26
30SEP2022,QLD,Cairns,Kowanyama (S),29
30SEP2022,QLD,Cairns,Mareeba (S),387
30SEP2022,QLD,Cairns,Northern Peninsula Area (R),50
30SEP2022,QLD,Cairns,Tablelands (R),552
30SEP2022,QLD,Cairns,Torres (S),50
30SEP2022,QLD,Cairns,Torres Strait Island (R),47
30SEP2022,QLD,Cairns,Weipa (T),61
30SEP2022,QLD,Cairns,Yarrabah (S),67
30SEP2022,QLD,Ipswich,Ipswich (C),6807
30SEP2022,QLD,Ipswich,Lockyer Valley (R),949
30SEP2022,QLD,Ipswich,Scenic Rim (R),940
30SEP2022,QLD,Ipswich,Somerset (R),653
30SEP2022,QLD,Mackay,Isaac (R),233
30SEP2022,QLD,Mackay,Mackay (R),2923
30SEP2022,QLD,Mackay,Whitsunday (R),620
30SEP2022,QLD,Maroochydore,Gympie (R),1759
30SEP2022,QLD,Maroochydore,Noosa (S),933
30SEP2022,QLD,Maroochydore,Sunshine Coast (R),7478
30SEP2022,QLD,Maryborough,Cherbourg (S),68
30SEP2022,QLD,Maryborough,Fraser Coast (R),3416
30SEP2022,QLD,Maryborough,North Burnett (R),205
30SEP2022,QLD,Maryborough,South Burnett (R),1043
30SEP2022,QLD,Other,Other,157
30SEP2022,QLD,Robina,Gold Coast (C),12074
30SEP2022,QLD,Rockhampton,Banana (S),288
30SEP2022,QLD,Rockhampton,Barcaldine (R),42
30SEP2022,QLD,Rockhampton,Central Highlands (R) (Qld),530
30SEP2022,QLD,Rockhampton,Gladstone (R),1786
30SEP2022,QLD,Rockhampton,Livingstone (S),835
30SEP2022,QLD,Rockhampton,Longreach (R),61
30SEP2022,QLD,Rockhampton,Rockhampton (R),2905
30SEP2022,QLD,Rockhampton,Woorabinda (S),29
30SEP2022,QLD,Toowoomba,Balonne (S),69
30SEP2022,QLD,Toowoomba,Goondiwindi (R),202
30SEP2022,QLD,Toowoomba,Maranoa (R),255
30SEP2022,QLD,Toowoomba,Murweh (S),111
30SEP2022,QLD,Toowoomba,Paroo (S),28
30SEP2022,QLD,Toowoomba,Southern Downs (R),971
30SEP2022,QLD,Toowoomba,Toowoomba (R),4873
30SEP2022,QLD,Toowoomba,Western Downs (R),809
30SEP2022,QLD,Townsville,Burdekin (S),378
30SEP2022,QLD,Townsville,Carpentaria (S),55
30SEP2022,QLD,Townsville,Charters Towers (R),261
30SEP2022,QLD,Townsville,Cloncurry (S),36
30SEP2022,QLD,Townsville,Doomadgee (S),40
30SEP2022,QLD,Townsville,Flinders (S) (Qld),24
30SEP2022,QLD,Townsville,Hinchinbrook (S),239
30SEP2022,QLD,Townsville,Mornington (S),21
30SEP2022,QLD,Townsville,Mount Isa (C),313
30SEP2022,QLD,Townsville,Palm Island (S),89
30SEP2022,QLD,Townsville,Townsville (C),5405
30SEP2022,SA,Adelaide Hills,Adelaide Hills (DC),723
30SEP2022,SA,Adelaide Hills,Mount Barker (DC),1119
30SEP2022,SA,"Barossa, Light and Lower North",Adelaide Plains (DC),281
30SEP2022,SA,"Barossa, Light and Lower North",Barossa (DC),638
30SEP2022,SA,"Barossa, Light and Lower North",Gawler (T),937
30SEP2022,SA,"Barossa, Light and Lower North",Light (RegC),467
30SEP2022,SA,Eastern Adelaide,Adelaide (C),464
30SEP2022,SA,Eastern Adelaide,Burnside (C),751
30SEP2022,SA,Eastern Adelaide,Campbelltown (C) (SA),1195
30SEP2022,SA,Eastern Adelaide,Norwood Payneham St Peters (C),592
30SEP2022,SA,Eastern Adelaide,Prospect (C),420
30SEP2022,SA,Eastern Adelaide,Unley (C),661
30SEP2022,SA,Eastern Adelaide,Walkerville (M),114
30SEP2022,SA,Eyre and Western,Ceduna (DC),91
30SEP2022,SA,Eyre and Western,Cleve (DC),37
30SEP2022,SA,Eyre and Western,Kimba (DC),21
30SEP2022,SA,Eyre and Western,Lower Eyre Peninsula (DC),105
30SEP2022,SA,Eyre and Western,Port Lincoln (C),467
30SEP2022,SA,Eyre and Western,Tumby Bay (DC),62
30SEP2022,SA,Eyre and Western,Whyalla (C),619
30SEP2022,SA,Eyre and Western,Wudinna (DC),23
30SEP2022,SA,Far North (SA),Anangu Pitjantjatjara (AC),139
30SEP2022,SA,Far North (SA),Flinders Ranges (DC),31
30SEP2022,SA,Far North (SA),Port Augusta (C),343
30SEP2022,SA,Far North (SA),Roxby Downs (M),33
30SEP2022,SA,Fleurieu and Kangaroo Island,Alexandrina (DC),748
30SEP2022,SA,Fleurieu and Kangaroo Island,Kangaroo Island (DC),93
30SEP2022,SA,Fleurieu and Kangaroo Island,Victor Harbor (C),425
30SEP2022,SA,Fleurieu and Kangaroo Island,Yankalilla (DC),109
30SEP2022,SA,Limestone Coast,Grant (DC),181
30SEP2022,SA,Limestone Coast,Kingston (DC) (SA),32
30SEP2022,SA,Limestone Coast,Mount Gambier (C),856
30SEP2022,SA,Limestone Coast,Naracoorte and Lucindale (DC),143
30SEP2022,SA,Limestone Coast,Tatiara (DC),87
30SEP2022,SA,Limestone Coast,Wattle Range (DC),270
30SEP2022,SA,Murray and Mallee,Berri and Barmera (DC),342
30SEP2022,SA,Murray and Mallee,Karoonda East Murray (DC),22
30SEP2022,SA,Murray and Mallee,Loxton Waikerie (DC),297
30SEP2022,SA,Murray and Mallee,Mid Murray (DC),186
30SEP2022,SA,Murray and Mallee,Murray Bridge (RC),785
30SEP2022,SA,Murray and Mallee,Renmark Paringa (DC),215
30SEP2022,SA,Murray and Mallee,Southern Mallee (DC),23
30SEP2022,SA,Murray and Mallee,The Coorong (DC),108
30SEP2022,SA,Northern Adelaide,Playford (C),4684
30SEP2022,SA,Northern Adelaide,Port Adelaide Enfield (C),4106
30SEP2022,SA,Northern Adelaide,Salisbury (C),4951
30SEP2022,SA,Northern Adelaide,Tea Tree Gully (C),2558
30SEP2022,SA,Other,Other,104
30SEP2022,SA,Southern Adelaide,Holdfast Bay (C),876
30SEP2022,SA,Southern Adelaide,Marion (C),2703
30SEP2022,SA,Southern Adelaide,Mitcham (C),1473
30SEP2022,SA,Southern Adelaide,Onkaparinga (C),5317
30SEP2022,SA,Unincorporated SA,Unincorporated SA,32
30SEP2022,SA,Western Adelaide,Charles Sturt (C),2955
30SEP2022,SA,Western Adelaide,West Torrens (C),1258
30SEP2022,SA,Yorke and Mid North,Barunga West (DC),48
30SEP2022,SA,Yorke and Mid North,Clare and Gilbert Valleys (DC),187
30SEP2022,SA,Yorke and Mid North,Copper Coast (DC),428
30SEP2022,SA,Yorke and Mid North,Goyder (DC),98
30SEP2022,SA,Yorke and Mid North,Mount Remarkable (DC),45
30SEP2022,SA,Yorke and Mid North,Northern Areas (DC),81
30SEP2022,SA,Yorke and Mid North,Peterborough (DC),45
30SEP2022,SA,Yorke and Mid North,Port Pirie City and Dists (M),542
30SEP2022,SA,Yorke and Mid North,Wakefield (DC),227
30SEP2022,SA,Yorke and Mid North,Yorke Peninsula (DC),199
30SEP2022,TAS,Other,Other,44
30SEP2022,TAS,TAS North,Break O'Day (M),154
30SEP2022,TAS,TAS North,Dorset (M),120
30SEP2022,TAS,TAS North,George Town (M),199
30SEP2022,TAS,TAS North,Launceston (C),1921
30SEP2022,TAS,TAS North,Meander Valley (M),444
30SEP2022,TAS,TAS North,Northern Midlands (M),272
30SEP2022,TAS,TAS North,West Tamar (M),486
30SEP2022,TAS,TAS North West,Burnie (C),570
30SEP2022,TAS,TAS North West,Central Coast (M) (Tas.),497
30SEP2022,TAS,TAS North West,Circular Head (M),144
30SEP2022,TAS,TAS North West,Devonport (C),772
30SEP2022,TAS,TAS North West,Kentish (M),123
30SEP2022,TAS,TAS North West,Latrobe (M) (Tas.),211
30SEP2022,TAS,TAS North West,Waratah/Wynyard (M),371
30SEP2022,TAS,TAS North West,West Coast (M),96
30SEP2022,TAS,TAS South East,Brighton (M),599
30SEP2022,TAS,TAS South East,Clarence (C),1319
30SEP2022,TAS,TAS South East,Derwent Valley (M),326
30SEP2022,TAS,TAS South East,Glamorgan/Spring Bay (M),50
30SEP2022,TAS,TAS South East,Sorell (M),316
30SEP2022,TAS,TAS South East,Southern Midlands (M),124
30SEP2022,TAS,TAS South East,Tasman (M),39
30SEP2022,TAS,TAS South West,Glenorchy (C),1513
30SEP2022,TAS,TAS South West,Hobart (C),796
30SEP2022,TAS,TAS South West,Huon Valley (M),337
30SEP2022,TAS,TAS South West,Kingborough (M),650
30SEP2022,VIC,Barwon,Colac-Otway (S),710
30SEP2022,VIC,Barwon,Greater Geelong (C),8962
30SEP2022,VIC,Barwon,Queenscliffe (B),39
30SEP2022,VIC,Barwon,Surf Coast (S),566
30SEP2022,VIC,Bayside Peninsula,Bayside (C),1344
30SEP2022,VIC,Bayside Peninsula,Frankston (C),4272
30SEP2022,VIC,Bayside Peninsula,Glen Eira (C),2511
30SEP2022,VIC,Bayside Peninsula,Kingston (C) (Vic.),3118
30SEP2022,VIC,Bayside Peninsula,Mornington Peninsula (S),3884
30SEP2022,VIC,Bayside Peninsula,Port Phillip (C),1659
30SEP2022,VIC,Bayside Peninsula,Stonnington (C),1131
30SEP2022,VIC,Brimbank Melton,Brimbank (C),4640
30SEP2022,VIC,Brimbank Melton,Melton (C),5113
30SEP2022,VIC,Central Highlands,Ararat (RC),371
30SEP2022,VIC,Central Highlands,Ballarat (C),3428
30SEP2022,VIC,Central Highlands,Golden Plains (S),649
30SEP2022,VIC,Central Highlands,Hepburn (S),299
30SEP2022,VIC,Central Highlands,Moorabool (S),918
30SEP2022,VIC,Central Highlands,Pyrenees (S),155
30SEP2022,VIC,Goulburn,Greater Shepparton (C),1925
30SEP2022,VIC,Goulburn,Mitchell (S),1140
30SEP2022,VIC,Goulburn,Moira (S),772
30SEP2022,VIC,Goulburn,Murrindindi (S),284
30SEP2022,VIC,Goulburn,Strathbogie (S),195
30SEP2022,VIC,Hume Moreland,Hume (C),6938
30SEP2022,VIC,Hume Moreland,Moreland (C),3459
30SEP2022,VIC,Inner East Melbourne,Boroondara (C),2254
30SEP2022,VIC,Inner East Melbourne,Manningham (C),1971
30SEP2022,VIC,Inner East Melbourne,Monash (C),2992
30SEP2022,VIC,Inner East Melbourne,Whitehorse (C),3319
30SEP2022,VIC,Inner Gippsland,Bass Coast (S),857
30SEP2022,VIC,Inner Gippsland,Baw Baw (S),1464
30SEP2022,VIC,Inner Gippsland,Latrobe (C) (Vic.),2629
30SEP2022,VIC,Inner Gippsland,South Gippsland (S),681
30SEP2022,VIC,Loddon,Campaspe (S),1099
30SEP2022,VIC,Loddon,Central Goldfields (S),449
30SEP2022,VIC,Loddon,Greater Bendigo (C),4413
30SEP2022,VIC,Loddon,Loddon (S),153
30SEP2022,VIC,Loddon,Macedon Ranges (S),1184
30SEP2022,VIC,Loddon,Mount Alexander (S),479
30SEP2022,VIC,Mallee,Buloke (S),137
30SEP2022,VIC,Mallee,Gannawarra (S),223
30SEP2022,VIC,Mallee,Mildura (RC),1659
30SEP2022,VIC,Mallee,Swan Hill (RC),529
30SEP2022,VIC,North East Melbourne,Banyule (C),2917
30SEP2022,VIC,North East Melbourne,Darebin (C),3408
30SEP2022,VIC,North East Melbourne,Nillumbik (S),1248
30SEP2022,VIC,North East Melbourne,Whittlesea (C),5126
30SEP2022,VIC,North East Melbourne,Yarra (C),1365
30SEP2022,VIC,Other,Other,<11
30SEP2022,VIC,Outer East Melbourne,Knox (C),3515
30SEP2022,VIC,Outer East Melbourne,Maroondah (C),3234
30SEP2022,VIC,Outer East Melbourne,Yarra Ranges (S),3780
30SEP2022,VIC,Outer Gippsland,East Gippsland (S),1318
30SEP2022,VIC,Outer Gippsland,Wellington (S),1155
30SEP2022,VIC,Ovens Murray,Alpine (S),204
30SEP2022,VIC,Ovens Murray,Benalla (RC),413
30SEP2022,VIC,Ovens Murray,Indigo (S),354
30SEP2022,VIC,Ovens Murray,Mansfield (S),152
30SEP2022,VIC,Ovens Murray,Towong (S),135
30SEP2022,VIC,Ovens Murray,Wangaratta (RC),886
30SEP2022,VIC,Ovens Murray,Wodonga (C),1610
30SEP2022,VIC,Southern Melbourne,Cardinia (S),2685
30SEP2022,VIC,Southern Melbourne,Casey (C),7950
30SEP2022,VIC,Southern Melbourne,Greater Dandenong (C),3317
30SEP2022,VIC,Western District,Corangamite (S),424
30SEP2022,VIC,Western District,Glenelg (S),478
30SEP2022,VIC,Western District,Hindmarsh (S),111
30SEP2022,VIC,Western District,Horsham (RC),599
30SEP2022,VIC,Western District,Moyne (S),339
30SEP2022,VIC,Western District,Northern Grampians (S),317
30SEP2022,VIC,Western District,Southern Grampians (S),405
30SEP2022,VIC,Western District,Warrnambool (C),1177
30SEP2022,VIC,Western District,West Wimmera (S),69
30SEP2022,VIC,Western District,Yarriambiack (S),189
30SEP2022,VIC,Western Melbourne,Hobsons Bay (C),1963
30SEP2022,VIC,Western Melbourne,Maribyrnong (C),1793
30SEP2022,VIC,Western Melbourne,Melbourne (C),1337
30SEP2022,VIC,Western Melbourne,Moonee Valley (C),2165
30SEP2022,VIC,Western Melbourne,Wyndham (C),6886
30SEP2022,WA,Central North Metro,Cambridge (T),318
30SEP2022,WA,Central North Metro,Claremont (T),150
30SEP2022,WA,Central North Metro,Cottesloe (T),53
30SEP2022,WA,Central North Metro,Mosman Park (T),143
30SEP2022,WA,Central North Metro,Nedlands (C),362
30SEP2022,WA,Central North Metro,Perth (C),307
30SEP2022,WA,Central North Metro,Stirling (C),3464
30SEP2022,WA,Central North Metro,Subiaco (C),240
30SEP2022,WA,Central North Metro,Vincent (C),452
30SEP2022,WA,Central South Metro,Cockburn (C),2312
30SEP2022,WA,Central South Metro,East Fremantle (T),76
30SEP2022,WA,Central South Metro,Fremantle (C),526
30SEP2022,WA,Central South Metro,Kwinana (C),1094
30SEP2022,WA,Central South Metro,Melville (C),1501
30SEP2022,WA,Central South Metro,South Perth (C),542
30SEP2022,WA,Goldfields-Esperance,Coolgardie (S),47
30SEP2022,WA,Goldfields-Esperance,Esperance (S),236
30SEP2022,WA,Goldfields-Esperance,Kalgoorlie/Boulder (C),433
30SEP2022,WA,Goldfields-Esperance,Ngaanyatjarraku (S),47
30SEP2022,WA,Great Southern,Albany (C),838
30SEP2022,WA,Great Southern,Broomehill-Tambellup (S),20
30SEP2022,WA,Great Southern,Cranbrook (S),20
30SEP2022,WA,Great Southern,Denmark (S),78
30SEP2022,WA,Great Southern,Katanning (S),56
30SEP2022,WA,Great Southern,Plantagenet (S),83
30SEP2022,WA,Kimberley-Pilbara,Ashburton (S),56
30SEP2022,WA,Kimberley-Pilbara,Broome (S),362
30SEP2022,WA,Kimberley-Pilbara,Derby-West Kimberley (S),191
30SEP2022,WA,Kimberley-Pilbara,East Pilbara (S),90
30SEP2022,WA,Kimberley-Pilbara,Halls Creek (S),91
30SEP2022,WA,Kimberley-Pilbara,Karratha (C),325
30SEP2022,WA,Kimberley-Pilbara,Port Hedland (T),238
30SEP2022,WA,Kimberley-Pilbara,Wyndham-East Kimberley (S),132
30SEP2022,WA,Midwest-Gascoyne,Carnarvon (S),71
30SEP2022,WA,Midwest-Gascoyne,Chapman Valley (S),24
30SEP2022,WA,Midwest-Gascoyne,Exmouth (S),26
30SEP2022,WA,Midwest-Gascoyne,Greater Geraldton (C),914
30SEP2022,WA,Midwest-Gascoyne,Irwin (S),44
30SEP2022,WA,Midwest-Gascoyne,Northampton (S),48
30SEP2022,WA,North East Metro,Bassendean (T),459
30SEP2022,WA,North East Metro,Bayswater (C),1168
30SEP2022,WA,North East Metro,Kalamunda (C),1166
30SEP2022,WA,North East Metro,Mundaring (S),803
30SEP2022,WA,North East Metro,Swan (C),3743
30SEP2022,WA,North Metro,Joondalup (C),2454
30SEP2022,WA,North Metro,Wanneroo (C),3941
30SEP2022,WA,Other,Other,511
30SEP2022,WA,South East Metro,Belmont (C),729
30SEP2022,WA,South East Metro,Canning (C),1569
30SEP2022,WA,South East Metro,Gosnells (C),2476
30SEP2022,WA,South East Metro,Victoria Park (T),633
30SEP2022,WA,South Metro,Armadale (C),2048
30SEP2022,WA,South Metro,Mandurah (C),1742
30SEP2022,WA,South Metro,Murray (S),363
30SEP2022,WA,South Metro,Rockingham (C),2831
30SEP2022,WA,South Metro,Serpentine-Jarrahdale (S),517
30SEP2022,WA,South West,Augusta-Margaret River (S),291
30SEP2022,WA,South West,Boyup Brook (S),26
